Datatype,CIFAR10
Train Size,1500
Test Size,300
Learning Rate,0.01
Batch Size,50
loss
0.9542871713638306,
0.7597967982292175,
0.6865098476409912,
0.608182430267334,
0.5631036162376404,
0.5359504818916321,
0.48873886466026306,
0.4459875226020813,
0.41472360491752625,
0.397152304649353,
0.37218090891838074,
0.3609659969806671,
0.3161347210407257,
0.28839802742004395,
0.28001654148101807,
0.3100548982620239,
0.29591700434684753,
0.2558663487434387,
0.24898529052734375,
0.25125575065612793,
accuracy
0.550000011920929,
0.6653333306312561,
0.7046666741371155,
0.746666669845581,
0.7706666588783264,
0.7706666588783264,
0.7919999957084656,
0.8240000009536743,
0.8353333473205566,
0.8373333215713501,
0.8526666760444641,
0.8646666407585144,
0.8793333172798157,
0.8806666731834412,
0.8939999938011169,
0.8786666393280029,
0.8833333253860474,
0.9006666541099548,
0.8966666460037231,
0.8999999761581421,
val_loss
0.8555147051811218,
0.7544671893119812,
0.6970025897026062,
0.6892296075820923,
0.7229787111282349,
0.6342341303825378,
0.6150403618812561,
0.6097732186317444,
0.6244035959243774,
0.6304720640182495,
0.7229600548744202,
0.6673681139945984,
0.718972384929657,
0.6702958345413208,
0.7086666822433472,
0.7443745732307434,
0.7850126028060913,
0.7570046782493591,
0.8588998317718506,
0.772350549697876,
val_accuracy
0.5933333039283752,
0.6766666769981384,
0.70333331823349,
0.6966666579246521,
0.699999988079071,
0.7433333396911621,
0.7400000095367432,
0.753333330154419,
0.7633333206176758,
0.753333330154419,
0.753333330154419,
0.7599999904632568,
0.753333330154419,
0.7666666507720947,
0.7433333396911621,
0.7400000095367432,
0.7433333396911621,
0.7333333492279053,
0.7200000286102295,
0.7566666603088379,
