Datatype,CIFAR10
Train Size,1500
Test Size,300
Learning Rate,0.01
Batch Size,50
loss
1.111882209777832,
0.9330522418022156,
0.8054606318473816,
0.7480212450027466,
0.703954815864563,
0.6852837204933167,
0.5878453850746155,
0.5567742586135864,
0.5409241318702698,
0.5081167221069336,
0.47555723786354065,
0.47270143032073975,
0.44673261046409607,
0.4531165063381195,
0.434630423784256,
0.4207928776741028,
0.4131237268447876,
0.41519609093666077,
0.40810221433639526,
0.3918513059616089,
accuracy
0.4073333442211151,
0.5606666803359985,
0.625333309173584,
0.671999990940094,
0.6993333101272583,
0.7120000123977661,
0.7613333463668823,
0.7753333449363708,
0.7846666574478149,
0.8046666383743286,
0.8133333325386047,
0.812666654586792,
0.8193333148956299,
0.8206666707992554,
0.8346666693687439,
0.8386666774749756,
0.8353333473205566,
0.8366666436195374,
0.8433333039283752,
0.8446666598320007,
val_loss
0.997831404209137,
0.8249890208244324,
0.7301703095436096,
0.6980046629905701,
0.7468847036361694,
0.6129122376441956,
0.5659791827201843,
0.5129480361938477,
0.528648853302002,
0.5012170672416687,
0.49908021092414856,
0.4551856517791748,
0.45597198605537415,
0.5303300619125366,
0.4640895128250122,
0.4551824927330017,
0.47966426610946655,
0.4502224624156952,
0.4175104796886444,
0.43979012966156006,
val_accuracy
0.5333333611488342,
0.6200000047683716,
0.6399999856948853,
0.6766666769981384,
0.6566666960716248,
0.7233333587646484,
0.753333330154419,
0.8033333420753479,
0.7799999713897705,
0.8266666531562805,
0.7833333611488342,
0.8133333325386047,
0.8133333325386047,
0.7933333516120911,
0.8233333230018616,
0.8199999928474426,
0.800000011920929,
0.8066666722297668,
0.8266666531562805,
0.8166666626930237,
